Order ID,Order Date,Customer ID,Region,Category,Product Name,Quantity,Unit Price,Discount,Sales,Profit
ORD2000,2021-08-19,CUST983,East,Clothing,Jacket,1,566.35,0.15,481.4,92.22
ORD2001,2022-06-28,CUST924,South,Home & Kitchen,Mixer Grinder,4,84.26,0.15,286.48,44.91
ORD2002,2021-08-06,CUST841,East,Clothing,Sneakers,4,139.18,0.05,528.88,146.11
ORD2003,2021-11-08,CUST768,East,Electronics,Laptop,5,857.14,0.15,3642.84,511.83
ORD2004,2021-09-24,CUST963,West,Beauty,Perfume,1,970.26,0.1,873.23,109.95
ORD2005,2021-04-20,CUST816,North,Home & Kitchen,Cookware Set,2,400.39,0.05,760.74,209.35
ORD2006,2020-12-24,CUST501,North,Beauty,Shampoo,3,383.73,0.0,1151.19,130.43
ORD2007,2020-07-14,CUST148,East,Beauty,Lipstick,2,635.82,0.15,1080.89,262.89
ORD2008,2021-02-10,CUST923,North,Electronics,Laptop,4,204.34,0.05,776.49,126.81
ORD2009,2023-04-13,CUST299,West,Beauty,Perfume,5,954.36,0.0,4771.8,608.42
ORD2010,2021-07-30,CUST726,South,Beauty,Lipstick,3,137.47,0.05,391.79,104.24
ORD2011,2022-10-13,CUST239,West,Books,Fiction Book,2,886.56,0.1,1595.81,463.36
ORD2012,2020-12-17,CUST824,North,Electronics,Smartwatch,2,88.53,0.0,177.06,45.53
ORD2013,2022-12-05,CUST560,North,Electronics,Smartwatch,4,578.59,0.0,2314.36,612.88
ORD2014,2021-10-02,CUST384,East,Electronics,Smartwatch,3,569.11,0.1,1536.6,444.78
ORD2015,2021-03-24,CUST104,North,Electronics,Smartwatch,5,62.13,0.15,264.05,31.54
ORD2016,2020-12-07,CUST488,West,Beauty,Face Cream,3,242.49,0.0,727.47,168.27
ORD2017,2021-08-16,CUST726,South,Books,Biography,3,570.46,0.1,1540.24,253.92
ORD2018,2023-04-14,CUST191,North,Electronics,Smartphone,3,722.87,0.1,1951.75,530.66
ORD2019,2023-06-09,CUST500,East,Electronics,Laptop,4,435.36,0.1,1567.3,248.96
ORD2020,2022-02-20,CUST763,East,Electronics,Laptop,4,468.57,0.1,1686.85,237.93
ORD2021,2020-10-11,CUST842,North,Books,Fiction Book,5,11.31,0.1,50.9,7.69
ORD2022,2022-07-03,CUST870,West,Beauty,Shampoo,1,101.72,0.05,96.63,15.69
ORD2023,2021-07-20,CUST813,West,Clothing,Jacket,2,279.3,0.05,530.67,107.56
ORD2024,2023-04-17,CUST573,East,Clothing,Sneakers,1,822.28,0.0,822.28,176.01
ORD2025,2022-11-15,CUST776,West,Clothing,Jacket,1,690.5,0.05,655.98,151.07
ORD2026,2020-07-11,CUST619,South,Clothing,Jacket,1,427.99,0.1,385.19,89.13
ORD2027,2022-02-23,CUST176,North,Books,Comics,4,168.88,0.1,607.97,107.79
ORD2028,2020-12-17,CUST833,West,Beauty,Face Cream,5,121.54,0.0,607.7,124.61
ORD2029,2021-12-14,CUST418,East,Clothing,T-shirt,3,84.02,0.05,239.46,41.61
ORD2030,2020-12-28,CUST595,East,Clothing,Sneakers,1,608.24,0.15,517.0,104.01
ORD2031,2020-01-11,CUST435,East,Electronics,Smartphone,3,717.67,0.15,1830.06,491.76
ORD2032,2020-08-04,CUST864,West,Home & Kitchen,Table Lamp,2,413.11,0.1,743.6,93.93
ORD2033,2022-05-13,CUST658,East,Books,Science Book,3,256.88,0.0,770.64,135.86
ORD2034,2022-12-26,CUST822,North,Clothing,T-shirt,2,634.54,0.15,1078.72,158.88
ORD2035,2021-04-26,CUST497,East,Clothing,Jacket,5,538.35,0.15,2287.99,348.58
ORD2036,2020-08-31,CUST572,North,Beauty,Shampoo,4,708.52,0.05,2692.38,404.15
ORD2037,2020-06-23,CUST396,North,Home & Kitchen,Mixer Grinder,1,749.15,0.15,636.78,98.4
ORD2038,2021-08-03,CUST700,North,Beauty,Perfume,2,562.26,0.05,1068.29,160.07
ORD2039,2022-08-10,CUST604,East,Home & Kitchen,Wall Clock,2,398.66,0.15,677.72,127.46
ORD2040,2023-03-30,CUST841,North,Books,Comics,5,217.15,0.05,1031.46,153.68
ORD2041,2020-02-04,CUST857,West,Books,Comics,4,260.97,0.05,991.69,148.56
ORD2042,2020-02-08,CUST196,East,Electronics,Headphones,2,89.94,0.15,152.9,23.89
ORD2043,2020-02-26,CUST531,North,Beauty,Lipstick,5,614.96,0.1,2767.32,594.5
ORD2044,2020-02-01,CUST507,South,Electronics,Smartphone,5,694.07,0.0,3470.35,791.53
ORD2045,2020-08-04,CUST369,West,Clothing,T-shirt,4,936.77,0.15,3185.02,336.77
ORD2046,2020-04-16,CUST433,South,Electronics,Headphones,3,23.27,0.05,66.32,12.67
ORD2047,2023-04-12,CUST992,North,Clothing,T-shirt,1,921.87,0.1,829.68,142.16
ORD2048,2022-03-10,CUST856,East,Books,Science Book,3,356.69,0.05,1016.57,167.47
ORD2049,2021-04-16,CUST929,East,Home & Kitchen,Mixer Grinder,1,637.02,0.1,573.32,95.84
ORD2050,2021-12-29,CUST307,North,Books,Comics,3,634.09,0.1,1712.04,192.75
ORD2051,2020-08-01,CUST724,South,Books,Fiction Book,4,837.95,0.05,3184.21,736.98
ORD2052,2023-01-09,CUST120,West,Beauty,Perfume,2,217.85,0.05,413.91,58.01
ORD2053,2021-07-07,CUST937,North,Beauty,Lipstick,4,342.61,0.15,1164.87,291.62
ORD2054,2022-05-10,CUST699,East,Books,Biography,4,65.08,0.05,247.3,57.59
ORD2055,2022-05-29,CUST495,North,Electronics,Smartwatch,4,57.96,0.1,208.66,23.13
ORD2056,2023-02-01,CUST733,South,Electronics,Laptop,2,198.58,0.1,357.44,48.22
ORD2057,2020-09-27,CUST163,South,Clothing,Sneakers,1,509.23,0.15,432.85,58.07
ORD2058,2023-03-08,CUST820,West,Clothing,Jeans,4,407.28,0.05,1547.66,181.4
ORD2059,2021-03-07,CUST327,South,Beauty,Perfume,3,532.5,0.0,1597.5,178.81
ORD2060,2021-07-09,CUST883,South,Beauty,Shampoo,4,790.49,0.05,3003.86,375.03
ORD2061,2022-12-27,CUST806,East,Books,Biography,5,216.28,0.05,1027.33,243.26
ORD2062,2021-11-16,CUST409,East,Clothing,T-shirt,3,247.1,0.0,741.3,83.43
ORD2063,2023-02-05,CUST290,East,Home & Kitchen,Mixer Grinder,2,736.84,0.1,1326.31,154.72
ORD2064,2021-11-21,CUST366,West,Books,Fiction Book,5,685.9,0.15,2915.07,523.94
ORD2065,2022-08-25,CUST210,North,Clothing,Jacket,3,716.84,0.0,2150.52,442.87
ORD2066,2022-01-01,CUST455,South,Clothing,Jacket,1,950.92,0.15,808.28,139.18
ORD2067,2020-02-06,CUST898,South,Beauty,Face Cream,4,771.95,0.1,2779.02,683.13
ORD2068,2022-10-03,CUST204,South,Electronics,Headphones,4,569.27,0.1,2049.37,483.49
ORD2069,2021-03-08,CUST625,East,Home & Kitchen,Wall Clock,2,743.03,0.05,1411.76,320.26
ORD2070,2021-08-23,CUST441,East,Electronics,Smartphone,1,365.07,0.0,365.07,45.18
ORD2071,2021-10-23,CUST276,North,Beauty,Perfume,5,11.91,0.1,53.59,7.34
ORD2072,2021-10-11,CUST253,West,Clothing,Sneakers,4,875.82,0.0,3503.28,514.83
ORD2073,2022-02-13,CUST360,North,Clothing,Jeans,1,31.3,0.15,26.61,7.59
ORD2074,2023-04-08,CUST829,South,Clothing,Jeans,1,138.6,0.05,131.67,29.96
ORD2075,2022-02-02,CUST279,East,Electronics,Smartwatch,1,591.7,0.05,562.12,83.96
